nm,T
850.0,91.35
848.0,91.84
846.0,90.83
844.0,90.58
842.0,91.94
840.0,90.73
838.0,90.81
836.0,91.82
834.0,91.15
832.0,91.05
830.0,90.81
828.0,90.86
826.0,90.64
824.0,90.71
822.0,90.4
820.0,90.03
818.0,89.86
816.0,89.94
814.0,89.5
812.0,89.84
810.0,89.1
808.0,88.87
806.0,89.01
804.0,88.37
802.0,88.08
800.0,88.06
798.0,87.85
796.0,87.69
794.0,87.35
792.0,86.64
790.0,86.23
788.0,86.66
786.0,86.15
784.0,85.85
782.0,85.53
780.0,85.02
778.0,84.84
776.0,84.57
774.0,84.06
772.0,83.41
770.0,82.94
768.0,82.84
766.0,82.12
764.0,81.64
762.0,81.04
760.0,80.39
758.0,79.95
756.0,79.41
754.0,78.4
752.0,77.62
750.0,77.08
748.0,76.06
746.0,75.45
744.0,74.7
742.0,73.82
740.0,72.77
738.0,72.04
736.0,71.14
734.0,69.96
732.0,68.88
730.0,67.75
728.0,66.75
726.0,65.54
724.0,64.28
722.0,62.97
720.0,61.62
718.0,60.42
716.0,58.92
714.0,57.59
712.0,56.21
710.0,54.65
708.0,53.2
706.0,51.73
704.0,50.04
702.0,48.5
700.0,46.86
698.0,45.11
696.0,43.48
694.0,41.68
692.0,39.95
690.0,38.19
688.0,36.51
686.0,34.7
684.0,32.93
682.0,31.11
680.0,29.36
678.0,27.58
676.0,25.91
674.0,24.29
672.0,22.61
670.0,20.98
668.0,19.37
666.0,17.86
664.0,16.44
662.0,15.05
660.0,13.75
658.0,12.55
656.0,11.43
654.0,10.44
652.0,9.55
650.0,8.76
648.0,8.16
646.0,7.67
644.0,7.27
642.0,7.07
640.0,7.01
638.0,7.09
636.0,7.34
634.0,7.72
632.0,8.28
630.0,9.01
628.0,9.85
626.0,10.86
624.0,12.03
622.0,13.32
620.0,14.76
618.0,16.33
616.0,17.99
614.0,19.74
612.0,21.59
610.0,23.53
608.0,25.49
606.0,27.54
604.0,29.57
602.0,31.54
600.0,33.53
598.0,35.47
596.0,37.25
594.0,38.93
592.0,40.53
590.0,41.99
588.0,43.23
586.0,44.36
584.0,45.43
582.0,46.33
580.0,47.13
578.0,47.81
576.0,48.51
574.0,49.03
572.0,49.49
570.0,49.98
568.0,50.34
566.0,50.64
564.0,50.78
562.0,50.75
560.0,50.7
558.0,50.48
556.0,50.1
554.0,49.57
552.0,48.97
550.0,48.36
548.0,47.68
546.0,46.98
544.0,46.29
542.0,45.62
540.0,45.02
538.0,44.56
536.0,44.15
534.0,43.78
532.0,43.43
530.0,43.02
528.0,42.6
526.0,42.26
524.0,41.87
522.0,41.42
520.0,40.92
518.0,40.42
516.0,39.89
514.0,39.34
512.0,38.73
510.0,38.07
508.0,37.44
506.0,36.74
504.0,36.04
502.0,35.26
500.0,34.47
498.0,33.74
496.0,32.9
494.0,32.03
492.0,31.17
490.0,30.36
488.0,29.51
486.0,28.66
484.0,27.87
482.0,27.05
480.0,26.29
478.0,25.57
476.0,24.79
474.0,24.11
472.0,23.49
470.0,22.87
468.0,22.29
466.0,21.72
464.0,21.21
462.0,20.78
460.0,20.33
458.0,19.9
456.0,19.47
454.0,19.1
452.0,18.73
450.0,18.36
448.0,18.09
446.0,17.81
444.0,17.49
442.0,17.24
440.0,16.96
438.0,16.68
436.0,16.39
434.0,16.2
432.0,15.89
430.0,15.65
428.0,15.46
426.0,15.24
424.0,15.01
422.0,14.77
420.0,14.48
418.0,14.28
416.0,14.03
414.0,13.79
412.0,13.54
410.0,13.27
408.0,12.99
406.0,12.74
404.0,12.54
402.0,12.26
400.0,12.0
398.0,11.69
396.0,11.42
394.0,11.14
392.0,10.82
390.0,10.5
388.0,10.24
386.0,9.92
384.0,9.64
382.0,9.33
380.0,9.09
378.0,8.73
376.0,8.89
374.0,8.77
372.0,9.02
370.0,9.19
368.0,9.23
366.0,9.83
364.0,10.15
362.0,10.2
360.0,10.81
358.0,10.81
356.0,11.05
354.0,11.39
352.0,11.44
350.0,11.9
