nm,T
850.0,77.16
848.0,76.17
846.0,75.64
844.0,74.58
842.0,74.41
840.0,73.26
838.0,72.98
836.0,71.62
834.0,71.36
832.0,70.6
830.0,69.44
828.0,68.91
826.0,67.95
824.0,67.4
822.0,66.48
820.0,65.28
818.0,64.82
816.0,63.94
814.0,62.89
812.0,61.75
810.0,60.92
808.0,60.56
806.0,59.22
804.0,58.56
802.0,57.42
800.0,56.48
798.0,55.27
796.0,54.5
794.0,53.43
792.0,52.53
790.0,51.67
788.0,50.71
786.0,49.35
784.0,48.43
782.0,47.39
780.0,46.7
778.0,45.74
776.0,44.46
774.0,43.46
772.0,42.43
770.0,41.47
768.0,40.61
766.0,39.56
764.0,38.58
762.0,37.46
760.0,36.55
758.0,35.59
756.0,34.62
754.0,33.65
752.0,32.78
750.0,32.03
748.0,30.97
746.0,30.29
744.0,29.44
742.0,28.6
740.0,27.8
738.0,27.01
736.0,26.19
734.0,25.48
732.0,24.74
730.0,24.27
728.0,23.55
726.0,22.88
724.0,22.27
722.0,21.71
720.0,21.17
718.0,20.64
716.0,20.17
714.0,19.85
712.0,19.44
710.0,19.08
708.0,18.85
706.0,18.6
704.0,18.35
702.0,18.09
700.0,17.99
698.0,17.94
696.0,18.03
694.0,18.16
692.0,18.36
690.0,18.6
688.0,18.92
686.0,19.31
684.0,19.79
682.0,20.41
680.0,21.17
678.0,21.99
676.0,22.97
674.0,24.06
672.0,25.19
670.0,26.55
668.0,28.0
666.0,29.52
664.0,31.16
662.0,32.97
660.0,34.81
658.0,36.67
656.0,38.53
654.0,40.42
652.0,42.22
650.0,43.88
648.0,45.38
646.0,46.66
644.0,47.75
642.0,48.54
640.0,49.21
638.0,50.13
636.0,51.28
634.0,52.44
632.0,53.27
630.0,53.63
628.0,53.59
626.0,53.18
624.0,52.41
622.0,51.31
620.0,50.06
618.0,48.8
616.0,47.81
614.0,46.88
612.0,45.94
610.0,45.03
608.0,44.17
606.0,43.15
604.0,42.14
602.0,41.02
600.0,39.76
598.0,38.41
596.0,36.93
594.0,35.45
592.0,33.96
590.0,32.48
588.0,31.04
586.0,29.69
584.0,28.31
582.0,26.97
580.0,25.66
578.0,24.37
576.0,23.22
574.0,22.32
572.0,21.66
570.0,21.2
568.0,21.05
566.0,21.08
564.0,21.25
562.0,21.49
560.0,21.66
558.0,21.77
556.0,21.87
554.0,21.87
552.0,21.81
550.0,21.72
548.0,21.6
546.0,21.45
544.0,21.3
542.0,21.14
540.0,20.94
538.0,20.72
536.0,20.46
534.0,20.14
532.0,19.75
530.0,19.27
528.0,18.73
526.0,18.14
524.0,17.53
522.0,16.85
520.0,16.12
518.0,15.39
516.0,14.64
514.0,13.9
512.0,13.17
510.0,12.43
508.0,11.72
506.0,11.03
504.0,10.37
502.0,9.78
500.0,9.22
498.0,8.67
496.0,8.19
494.0,7.75
492.0,7.35
490.0,7.0
488.0,6.64
486.0,6.35
484.0,6.09
482.0,5.86
480.0,5.68
478.0,5.53
476.0,5.36
474.0,5.24
472.0,5.14
470.0,5.04
468.0,4.96
466.0,4.9
464.0,4.85
462.0,4.79
460.0,4.74
458.0,4.71
456.0,4.68
454.0,4.66
452.0,4.62
450.0,4.59
448.0,4.56
446.0,4.53
444.0,4.51
442.0,4.48
440.0,4.44
438.0,4.39
436.0,4.38
434.0,4.33
432.0,4.3
430.0,4.26
428.0,4.21
426.0,4.18
424.0,4.12
422.0,4.07
420.0,4.04
418.0,3.98
416.0,3.9
414.0,3.86
412.0,3.82
410.0,3.76
408.0,3.69
406.0,3.63
404.0,3.59
402.0,3.51
400.0,3.46
398.0,3.4
396.0,3.36
394.0,3.31
392.0,3.26
390.0,3.18
388.0,3.14
386.0,3.07
384.0,3.03
382.0,3.01
380.0,2.94
378.0,3.06
376.0,2.61
374.0,2.98
372.0,3.12
370.0,3.22
368.0,3.13
366.0,3.29
364.0,3.9
362.0,3.62
360.0,3.78
358.0,3.83
356.0,3.84
354.0,3.95
352.0,4.11
350.0,4.01
