nm,T
1000.0,96.960123
995.0,99.112375
990.0,98.712205
985.0,98.371896
980.0,97.022327
975.0,98.198073
970.0,95.699145
965.0,98.37615
960.0,98.91238
955.0,98.721866
950.0,104.191071
945.0,102.745077
940.0,94.63861
935.0,99.414058
930.0,96.33383
925.0,96.708179
920.0,93.706435
915.0,99.027995
910.0,98.879982
905.0,94.697629
900.0,97.669941
895.0,85.798678
890.0,112.755121
885.0,84.329429
880.0,98.903416
875.0,73.692518
870.0,118.683252
865.0,96.168891
860.0,94.263076
855.0,95.17891
850.0,97.225702
845.0,96.203428
840.0,95.687532
835.0,95.904297
830.0,95.63949
825.0,94.954515
820.0,95.360344
815.0,95.633551
810.0,95.693422
805.0,95.586666
800.0,95.777841
795.0,95.32457
790.0,95.558445
785.0,95.600722
780.0,95.346339
775.0,94.941894
770.0,94.607897
765.0,95.475094
760.0,94.828217
755.0,94.7969
750.0,94.951338
745.0,94.427493
740.0,94.523552
735.0,94.552385
730.0,94.23933
725.0,94.159762
720.0,94.145979
715.0,93.913125
710.0,93.778489
705.0,93.416453
700.0,93.328931
695.0,93.321729
690.0,92.758953
685.0,92.35649
680.0,91.834857
675.0,91.307014
670.0,90.855463
665.0,89.99995
660.0,88.763571
655.0,87.822055
650.0,86.01865
645.0,83.851503
640.0,81.289126
635.0,78.214012
630.0,74.587516
625.0,70.257352
620.0,65.184038
615.0,59.976026
610.0,54.459299
605.0,49.141341
600.0,44.140884
595.0,39.567624
590.0,35.342404
585.0,31.461863
580.0,27.469111
575.0,23.512672
570.0,19.799055
565.0,16.624883
560.0,14.464042
555.0,13.530537
550.0,13.807185
545.0,15.114919
540.0,17.21868
535.0,20.049979
530.0,23.354263
525.0,26.909085
520.0,30.608115
515.0,34.283331
510.0,37.487644
505.0,40.332796
500.0,42.829434
495.0,44.469673
490.0,45.972176
485.0,47.075047
480.0,47.996375
475.0,48.185355
470.0,48.14437
465.0,47.845598
460.0,47.467144
455.0,46.849042
450.0,46.195723
445.0,45.200365
440.0,44.3575
435.0,43.531514
430.0,42.476573
425.0,41.61845
420.0,40.695398
415.0,39.503629
410.0,38.367077
405.0,37.261604
400.0,36.095504
395.0,34.933869
390.0,33.511736
385.0,31.923471
380.0,30.070476
375.0,27.776201
370.0,25.401981
365.0,25.186086
360.0,24.721589
355.0,24.468902
350.0,24.145137
