nm,T
850.0,92.2
848.0,92.72
846.0,92.0
844.0,92.09
842.0,93.07
840.0,92.5
838.0,91.84
836.0,93.11
834.0,92.22
832.0,92.26
830.0,92.28
828.0,92.54
826.0,92.72
824.0,92.75
822.0,92.24
820.0,92.35
818.0,92.12
816.0,92.24
814.0,91.96
812.0,92.35
810.0,91.94
808.0,92.24
806.0,92.24
804.0,91.3
802.0,91.01
800.0,91.08
798.0,89.35
796.0,85.26
794.0,80.44
792.0,79.47
790.0,85.17
788.0,90.26
786.0,91.08
784.0,90.83
782.0,91.01
780.0,90.32
778.0,89.11
776.0,87.71
774.0,84.62
772.0,78.64
770.0,70.45
768.0,64.12
766.0,64.0
764.0,69.72
762.0,73.9
760.0,70.25
758.0,60.93
756.0,54.16
754.0,51.94
752.0,52.52
750.0,53.33
748.0,53.51
746.0,53.16
744.0,52.72
742.0,52.62
740.0,52.78
738.0,53.66
736.0,54.12
734.0,53.4
732.0,50.17
730.0,45.99
728.0,44.05
726.0,44.71
724.0,46.66
722.0,48.78
720.0,49.86
718.0,50.03
716.0,49.49
714.0,48.96
712.0,48.03
710.0,47.27
708.0,46.41
706.0,45.51
704.0,44.65
702.0,43.91
700.0,43.16
698.0,42.1
696.0,41.16
694.0,39.94
692.0,38.71
690.0,37.41
688.0,36.09
686.0,34.5
684.0,32.78
682.0,30.93
680.0,29.0
678.0,26.89
676.0,24.63
674.0,22.32
672.0,20.25
670.0,18.61
668.0,17.51
666.0,16.85
664.0,16.61
662.0,16.49
660.0,16.37
658.0,16.06
656.0,15.39
654.0,14.32
652.0,12.93
650.0,11.37
648.0,9.7
646.0,8.05
644.0,6.53
642.0,5.27
640.0,4.27
638.0,3.58
636.0,3.27
634.0,3.33
632.0,3.71
630.0,4.41
628.0,5.32
626.0,6.3
624.0,7.37
622.0,8.48
620.0,9.63
618.0,10.82
616.0,12.05
614.0,13.25
612.0,14.43
610.0,15.6
608.0,16.71
606.0,17.75
604.0,18.74
602.0,19.68
600.0,20.54
598.0,21.36
596.0,22.14
594.0,22.87
592.0,23.58
590.0,24.24
588.0,24.79
586.0,25.31
584.0,25.77
582.0,26.06
580.0,26.21
578.0,26.3
576.0,26.28
574.0,26.06
572.0,25.76
570.0,25.37
568.0,24.92
566.0,24.5
564.0,24.07
562.0,23.71
560.0,23.4
558.0,23.04
556.0,22.65
554.0,22.33
552.0,22.02
550.0,21.62
548.0,21.24
546.0,20.88
544.0,20.48
542.0,20.12
540.0,19.79
538.0,19.51
536.0,19.27
534.0,19.03
532.0,18.84
530.0,18.67
528.0,18.54
526.0,18.47
524.0,18.44
522.0,18.43
520.0,18.42
518.0,18.45
516.0,18.48
514.0,18.52
512.0,18.6
510.0,18.75
508.0,18.92
506.0,19.09
504.0,19.26
502.0,19.45
500.0,19.69
498.0,19.94
496.0,20.13
494.0,20.34
492.0,20.52
490.0,20.7
488.0,20.83
486.0,20.94
484.0,21.04
482.0,21.1
480.0,21.09
478.0,21.06
476.0,21.04
474.0,21.02
472.0,20.98
470.0,20.93
468.0,20.91
466.0,20.86
464.0,20.79
462.0,20.77
460.0,20.72
458.0,20.7
456.0,20.68
454.0,20.65
452.0,20.63
450.0,20.62
448.0,20.61
446.0,20.55
444.0,20.54
442.0,20.54
440.0,20.56
438.0,20.51
436.0,20.45
434.0,20.46
432.0,20.46
430.0,20.48
428.0,20.52
426.0,20.58
424.0,20.6
422.0,20.61
420.0,20.58
418.0,20.64
416.0,20.69
414.0,20.74
412.0,20.74
410.0,20.79
408.0,20.74
406.0,20.78
404.0,20.88
402.0,20.98
400.0,20.92
398.0,20.92
396.0,21.05
394.0,21.08
392.0,21.16
390.0,21.2
388.0,21.31
386.0,21.41
384.0,21.43
382.0,21.48
380.0,21.6
378.0,21.26
376.0,21.47
374.0,21.41
372.0,21.5
370.0,21.75
368.0,22.01
366.0,22.25
364.0,22.07
362.0,22.34
360.0,22.5
358.0,22.78
356.0,22.69
354.0,22.87
352.0,22.54
350.0,22.76
