nm,T
1000.0,95.349049
995.0,97.698593
990.0,98.149524
985.0,95.982681
980.0,95.195352
975.0,97.99762
970.0,96.722233
965.0,97.278897
960.0,94.118986
955.0,98.76744
950.0,99.92062
945.0,100.738814
940.0,98.915674
935.0,104.196902
930.0,96.844913
925.0,101.280731
920.0,100.980279
915.0,103.041499
910.0,96.393214
905.0,102.657259
900.0,96.715299
895.0,93.911906
890.0,101.46169
885.0,87.989246
880.0,89.55621
875.0,88.156642
870.0,72.59379
865.0,82.669516
860.0,92.832463
855.0,94.70298
850.0,94.430049
845.0,94.032083
840.0,93.769639
835.0,92.751352
830.0,92.09544
825.0,90.989507
820.0,90.17107
815.0,88.800602
810.0,85.636735
805.0,81.391413
800.0,75.283839
795.0,67.970948
790.0,60.966987
785.0,55.42957
780.0,53.880596
775.0,55.496882
770.0,59.618959
765.0,64.164223
760.0,66.821053
755.0,68.679377
750.0,69.675519
745.0,69.331046
740.0,67.834274
735.0,65.34457
730.0,62.730388
725.0,60.003621
720.0,57.652592
715.0,55.345579
710.0,54.357864
705.0,53.398951
700.0,52.799326
695.0,52.565237
690.0,51.706607
685.0,50.975016
680.0,50.22211
675.0,49.088814
670.0,47.825527
665.0,46.019781
660.0,43.449011
655.0,39.989961
650.0,35.743956
645.0,31.557793
640.0,28.615076
635.0,28.021096
630.0,29.874286
625.0,33.255665
620.0,36.404529
615.0,38.625794
610.0,40.171025
605.0,41.284971
600.0,42.070143
595.0,42.854861
590.0,43.320375
585.0,43.062452
580.0,41.990833
575.0,40.490917
570.0,39.1047
565.0,38.83293
560.0,40.339078
555.0,43.214056
550.0,46.95849
545.0,50.534043
540.0,53.390939
535.0,55.73257
530.0,57.330621
525.0,58.406825
520.0,58.781731
515.0,58.892104
510.0,58.68989
505.0,58.407148
500.0,58.299914
495.0,57.937016
490.0,58.358167
485.0,58.745606
480.0,59.203625
475.0,59.309629
470.0,59.529202
465.0,59.686034
460.0,59.782673
455.0,60.037147
450.0,60.100545
445.0,60.09066
440.0,60.096963
435.0,60.191683
430.0,60.217834
425.0,60.281503
420.0,59.86232
415.0,59.697222
410.0,59.529599
405.0,59.455064
400.0,58.807363
395.0,58.644456
390.0,58.170078
385.0,57.807169
380.0,57.565379
375.0,57.148662
370.0,56.542472
365.0,56.616912
360.0,56.349101
355.0,55.829221
350.0,55.801781
